作品名称：【栗老师】相见恨晚的大圆脸发型教程  超遮脸看起来能显瘦20斤  抛弃tony老师自己搞定吧
网址：https://www.bilibili.com/video/av26492782
更新时间：07-12
弹幕总量：989
preciseTime    ofTime          comment
104.192        1531198405.0    哇 南京人路过
104.56         1531319517.0    语气敲可爱了！
104.917        1531198418.0    南京人路过！
104.944        1531374307.0    哈哈哈哈
105.002        1531183617.0    哈哈哈哈笑死
105.045        1531153574.0    我就是厚刘海
105.367        1531200814.0    我也是南宁的
105.994        1531187959.0    我就喜欢这样讲话
106.201        1531198114.0    南宁的友女!
107.118        1531235944.0    南宁！！！
107.592        1531239399.0    我听成像个驴……
109.312        1531265127.0    为什么字越多流动的越快
109.909        1531241627.0    南京话很亲切了哈哈哈哈哈
110.25         1531289410.0    南京不是南宁
111.552        1531285023.0    up是南京阿不是南宁
111.622        1531369540.0    我也是南宁的！
111.83         1531217181.0    我觉得这个🍐也好可爱呐
112.36         1531290265.0    up好可爱
112.859        1531372785.0    对对对！我就是这样！我一直纳闷别的仙女是怎么用头发遮脸的
113.032        1531391203.0    我爱您
113.066        1531199542.0    同款脸型同南京人！
113.368        1531276739.0    原来是南京话
115.001        1531254542.0    up主太好笑了吧我笑死
115.03         1531200393.0    哇终于有up说到中分梨形脸了
115.057        1531295287.0    寺里，杨超越!
115.694        1531154273.0    没错是我……
116.426        1531221488.0    对对
116.64         1531233365.0    up的五官是真的好看哟
116.819        1531192036.0    拿小本本记下来
117.117        1531187872.0    老师是美术出身的吧qeq
117.24         1531154858.0    是我了
117.455        1531253432.0    是本中分女孩了
118.101        1531306158.0    同南京人
118.125        1531219915.0    啊啊啊啊同款
118.698        1531197655.0    up好可爱
118.871        1531278349.0    驴？
119.07         1531299673.0    对对对对
119.663        1531196341.0    是我是我！！！
119.878        1531298474.0    没错，就是
119.893        1531251018.0    口头禅是 。。。啊
120.516        1531183635.0    是我本人了
120.556        1531197781.0    听不懂人话的tony老师hhh
120.765        1531355055.0    好像戚薇阿
120.916        1531198537.0    只有我觉得这样很美吗qwq
121.619        1531326252.0    是我没错了！！
121.832        1531152339.0    鼻子也好看
122.286        1531391737.0    南京人吗！
123.493        1531300732.0    没错，就是这样！
124.075        1531147580.0    我的天！这就是我本人啊！！！愚蠢的我自己
124.245        1531239141.0    对对对！
124.734        1531358962.0    说的就是我没错了啊哈哈
124.905        1531195439.0    是我了
125.19         1531319734.0    是我了...
125.315        1531221497.0    对对
125.933        1531309522.0    up声音和脸反差萌ww
126.124        1531206262.0    对对对
126.21         1531319686.0    终于不说南京话了
126.805        1531300571.0    哈哈哈哈哈哈非主流的时尚感
127.031        1531271549.0    好漂亮呀呀呀呀呀
128.798        1531194925.0    是我
130.105        1531153004.0    是我！！！
130.437        1531199751.0    2333
130.718        1531308510.0    对对对对
130.796        1531248337.0    我也是这么剪的！
131.091        1531309869.0    哈哈哈
132.221        1531229948.0    同款刘海
132.864        1531278055.0     是我
133.27         1531191110.0    是我本人了
133.277        1531308522.0    是我本人了，没错没错
133.484        1531248921.0    我一个男的看到津津有味
133.759        1531320343.0    我没有这么多头发啊哭
134.399        1531155987.0    可我额头窄怎么办
135.253        1531195343.0    对对对对跟我一样一样的
135.56         1531199322.0    关注了！
137.441        1531285674.0    大小眼多少都有一点点的，我觉UP超级可爱，超级漂亮，眼睛
138.074        1531193536.0    漂亮得像娃娃一样
138.903        1531248386.0    我也是这么剪的！！！
139.706        1531367878.0    同款脸型哈哈哈  然后剪了姬发~~超棒
140.079        1531189248.0    前面额头窄的等等我，我也是。。。
141.259        1531309342.0    我额头太短了，别人是空气刘海，我是格格刘海
141.459        1531264250.0    同款梳子同款脸型
141.574        1531358995.0    已经剪了个很失败的刘海了，我只能等刘海留长了再看这个视频qwq
141.699        1531391239.0    哈哈哈爱您
142.07         1531193201.0    其实也第二种还好
142.598        1531187757.0    莫名像尿酱
142.676        1531150173.0    眼睛好好看哟
143.31         1531224931.0    自然卷哭了
144.715        1531361433.0    是我！！！！！额头高脸短TT
144.832        1531151809.0    啊~
145.479        1531158146.0    自己剪我的天好厉害
146.093        1531312735.0    留不了平刘海的我
147.141        1531155269.0    自然卷的我要哭了
148.159        1531252963.0    额头短的也很无奈呀
148.309        1531303864.0    这个手法 技术流技术流
148.474        1531181334.0    额头窄等等我
150.869        1531309962.0    技术流啊
151.403        1531154309.0    我额头低………还窄……妈也
152.32         1531285791.0    我一个男的点进来干嘛啊
152.466        1531298506.0    我额头短，怎么办
153.305        1531297076.0    我一男的看这干嘛→_→
153.343        1531191830.0    可是我的脸短  额头也窄咋整
153.429        1531201938.0    前面自然卷的等等我......
154.182        1531185417.0    直接用剪刀厉害了
154.733        1531298903.0    额头也短咋办
155.391        1531151735.0    真好看
155.459        1531190425.0    额头窄的带我一个
156.048        1531158045.0    自然卷的那个别走，我刘海是自然内卷！内卷
156.238        1531301159.0    我一个肥宅点进来看什么啊
156.287        1531306361.0    额头窄 就很难过 
156.462        1531383456.0    果断关注不解释
156.82         1531236432.0    妈蛋，剪坏了，明天还要上班〒_〒
157.92         1531306611.0    修秃了可还行233
158.139        1531146886.0    修秃了。。。。
158.526        1531215234.0    剪刀真好用，求链接
158.694        1531158128.0    自然卷难受了
159.326        1531301365.0    额头短也带我一个
159.862        1531233596.0    这个手法。。kevin老师无疑了
160.018        1531168527.0    这操作
161.021        1531193788.0    ʅ(´⊙◞⊱◟⊙｀)ʃ
161.275        1531309619.0    圆脸妹纸超可爱啊
161.304        1531290314.0    我自然卷绝望
162.73         1531298519.0    哈哈哈哈哈哈哈哈哈笑死了 好可爱
163.371        1531148420.0    承包这个嘟嘴！！！
163.86         1531186558.0    我上次剪刘海一剪刀下去。。然后就完了
164.01         1531198753.0    Up是老师吗
164.085        1531309089.0    技术流技术流
165.206        1531306417.0    我额头短，脸圆，怎么办
166.933        1531315442.0    熟练得让人心疼
168.106        1531315472.0    对不起我没有刘海…呜呜呜呜呜啊！哭死了
168.594        1531296906.0    自然卷的我也是!!绝望死!!
170.13         1531194914.0    这刘海要颜值的，弄不好就很土
170.555        1531193338.0    up主怕不是个段子手吧哈哈哈说话语调好giao笑
171.659        1531156118.0    栗子眼睛太好看了！！
171.939        1531195959.0    我也是这种！远看脸贼大不好看，靠近了就能看到五官很可爱！！
172.01         1531311295.0    说话像英语老师
172.06         1531220262.0    想捏妹子小脸
172.36         1531148277.0    美颜暴击
173.28         1531297053.0    美颜暴击
173.403        1531228501.0    有没有发际线高的！互相抱紧！
174.57         1531279072.0    感觉长相和声音不符
175.178        1531190934.0    求up主出脸上这个妆容 真的好看到爆炸
175.282        1531310267.0    up主五官很好看啊
177.157        1531212986.0    眼睛好看
177.275        1531198710.0    同款痣啊啊啊啊好开心
177.658        1531190957.0    好可爱！真的真的
178.405        1531297724.0    修秃了，这个话。哈哈哈
178.775        1531307461.0    额头也短
179.265        1531150772.0    希望来一集专门讲修容的
180.16         1531152420.0    啊  啊 啊  啊
180.736        1531193902.0    眼睛好美
180.906        1531319842.0    求眼妆教程
181.073        1531149334.0    好美！
181.323        1531239159.0    太可爱了
181.912        1531155897.0    眼睛好漂亮
182.036        1531189356.0    好想把头寄给你…
183.1          1531158709.0    可是这样眼睛不舒服
183.125        1531305176.0    眼睛好大.....羡慕
185.125        1531154045.0    up好好看(❁´◡`❁)*✲ﾟ*
186.196        1531190735.0    这个长度我留着扎眼睛哈哈
186.279        1531221558.0    嚎嚎看啊你
186.716        1531284647.0    我剪残了。。
187.299        1531269326.0    是心动的感觉
188.271        1531326346.0    好可爱啊！！
188.314        1531179780.0    太漂亮了
189.144        1531287138.0    其实这样就很好看啦，也不是每个人都要追求瓜子脸啦哈哈哈哈——来自手残党的自我安慰
189.589        1531159599.0    栗老师讲话一股老干部味
190.539        1531198509.0    发质好好啊
190.758        1531208251.0    我觉得超可爱阿喂
190.805        1531313726.0    好可爱啊啊啊
190.954        1531147115.0    好喜欢栗子
191.505        1531308570.0    up主很专业
192.948        1531221030.0    神了
194.187        1531181380.0    羡慕刘海直的 我拉直也没用
194.198        1531302713.0    美瞳
194.436        1531387729.0    嘴唇？
194.582        1531152068.0    这个剪发方式惊了O_o
195.093        1531211418.0    啊啊啊
196.504        1531192260.0    没看懂平行侧脸什么意思
196.862        1531266830.0    已经是厚刘海了要怎么修QAQ
197.475        1531197960.0    已截图
198.142        1531199629.0    我就是一刀，现在真尴尬
198.507        1531154000.0    我的天啊 第一次来 完全沉迷美貌！
199.388        1531158207.0    这里太好看了
200.146        1531309125.0    是老师吧
201.13         1531271543.0    我满头直发，烫头发都维持不了两周
202.362        1531224930.0    圆圆脸其实也不错啊
202.56         1531276098.0    如果脸窄一点就好看了￣ ￣)σ
203.116        1531294640.0    阿阿阿阿好可爱都up!关注!
203.893        1531192944.0    技术流啊
204.499        1531376866.0    啊啊啊为什么我没有早点看这个视频！！我已经剪完了！！超丑！
205.859        1531296735.0    还是如整容吧这样是救不了你们的
206.99         1531263988.0    发质好好啊
207.131        1531269086.0    我一个男的在这儿看啥？
207.341        1531230037.0    这块是秃的我
